2021-Nov-12 13:08:04 [background-preinit] INFO  o.h.v.i.u.Version                                  - HV000001: Hibernate Validator 6.0.13.Final
2021-Nov-12 13:08:04 [restartedMain] INFO  c.r.o.OtpApplication                               - Starting OtpApplication using Java 15.0.2 on DESKTOP-P66OSCI with PID 864 (D:\Users\Downloads\spring\OTP-spring\target\classes started by asus in D:\Users\Downloads\spring\OTP-spring)
2021-Nov-12 13:08:04 [restartedMain] INFO  c.r.o.OtpApplication                               - No active profile set, falling back to default profiles: default
2021-Nov-12 13:08:04 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor    - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2021-Nov-12 13:08:04 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor    - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2021-Nov-12 13:08:05 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate          - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2021-Nov-12 13:08:05 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate          - Finished Spring Data repository scanning in 32 ms. Found 1 JPA repository interfaces.
2021-Nov-12 13:08:06 [restartedMain] INFO  o.s.b.w.e.t.TomcatWebServer                        - Tomcat initialized with port(s): 8080 (https)
2021-Nov-12 13:08:06 [restartedMain] INFO  o.a.c.h.Http11NioProtocol                          - Initializing ProtocolHandler ["https-jsse-nio-8080"]
2021-Nov-12 13:08:06 [restartedMain] INFO  o.a.c.c.StandardService                            - Starting service [Tomcat]
2021-Nov-12 13:08:06 [restartedMain] INFO  o.a.c.c.StandardEngine                             - Starting Servlet engine: [Apache Tomcat/9.0.54]
2021-Nov-12 13:08:06 [restartedMain] INFO  o.a.c.c.C.[.[.[/]                                  - Initializing Spring embedded WebApplicationContext
2021-Nov-12 13:08:06 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext     - Root WebApplicationContext: initialization completed in 1438 ms
2021-Nov-12 13:08:06 [restartedMain] INFO  o.h.j.i.u.LogHelper                                - HHH000204: Processing PersistenceUnitInfo [name: default]
2021-Nov-12 13:08:06 [restartedMain] INFO  o.h.Version                                        - HHH000412: Hibernate ORM core version 5.4.32.Final
2021-Nov-12 13:08:06 [restartedMain] INFO  o.h.a.c.Version                                    - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2021-Nov-12 13:08:06 [restartedMain] INFO  c.z.h.HikariDataSource                             - HikariPool-1 - Starting...
2021-Nov-12 13:08:07 [restartedMain] INFO  c.z.h.HikariDataSource                             - HikariPool-1 - Start completed.
2021-Nov-12 13:08:07 [restartedMain] INFO  o.h.d.Dialect                                      - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
2021-Nov-12 13:08:07 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator                 - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2021-Nov-12 13:08:07 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean     - Initialized JPA EntityManagerFactory for persistence unit 'default'
2021-Nov-12 13:08:08 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2021-Nov-12 13:08:08 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer                 - LiveReload server is running on port 35729
2021-Nov-12 13:08:08 [restartedMain] INFO  o.a.c.h.Http11NioProtocol                          - Starting ProtocolHandler ["https-jsse-nio-8080"]
2021-Nov-12 13:08:08 [restartedMain] INFO  o.s.b.w.e.t.TomcatWebServer                        - Tomcat started on port(s): 8080 (https) with context path ''
2021-Nov-12 13:08:08 [restartedMain] INFO  c.r.o.OtpApplication                               - Started OtpApplication in 4.316 seconds (JVM running for 5.516)
2021-Nov-12 13:08:20 [https-jsse-nio-8080-exec-4] INFO  o.a.c.c.C.[.[.[/]                                  - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-Nov-12 13:08:20 [https-jsse-nio-8080-exec-4] INFO  o.s.w.s.DispatcherServlet                          - Initializing Servlet 'dispatcherServlet'
2021-Nov-12 13:08:20 [https-jsse-nio-8080-exec-4] INFO  o.s.w.s.DispatcherServlet                          - Completed initialization in 2 ms
2021-Nov-12 13:09:19 [https-jsse-nio-8080-exec-4] INFO  c.r.o.c.OTPController                              - Inside send OTP Controller
2021-Nov-12 13:09:19 [https-jsse-nio-8080-exec-4] INFO  c.r.o.c.OTPController                              - Inside Send OTP service Class
2021-Nov-12 13:09:20 [https-jsse-nio-8080-exec-4] INFO  c.r.o.c.OTPController                              - Inside checkmail OTP method
2021-Nov-12 13:09:20 [https-jsse-nio-8080-exec-4] INFO  c.r.o.c.OTPController                              - Inside generate OTP
2021-Nov-12 13:09:20 [https-jsse-nio-8080-exec-4] INFO  c.r.o.c.OTPController                              - Inside send OTP to email
2021-Nov-12 14:22:07 [HikariPool-1 housekeeper] WARN  c.z.h.p.HikariPool                                 - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=54m30s288ms528µs400ns).
2021-Nov-12 15:24:51 [HikariPool-1 housekeeper] WARN  c.z.h.p.HikariPool                                 - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1m12s501ms91µs600ns).
2021-Nov-12 17:10:43 [Thread-4] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean     - Closing JPA EntityManagerFactory for persistence unit 'default'
2021-Nov-12 17:10:43 [Thread-4] INFO  c.z.h.HikariDataSource                             - HikariPool-1 - Shutdown initiated...
2021-Nov-12 17:10:43 [Thread-4] INFO  c.z.h.HikariDataSource                             - HikariPool-1 - Shutdown completed.
2021-Nov-12 17:25:02 [background-preinit] INFO  o.h.v.i.u.Version                                  - HV000001: Hibernate Validator 6.0.13.Final
2021-Nov-12 17:25:02 [restartedMain] INFO  c.r.o.OtpApplication                               - Starting OtpApplication using Java 15.0.2 on DESKTOP-P66OSCI with PID 2116 (D:\Users\Downloads\spring\OTP-spring\target\classes started by asus in D:\Users\Downloads\spring\OTP-spring)
2021-Nov-12 17:25:02 [restartedMain] INFO  c.r.o.OtpApplication                               - No active profile set, falling back to default profiles: default
2021-Nov-12 17:25:02 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor    - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2021-Nov-12 17:25:02 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor    - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2021-Nov-12 17:25:03 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate          - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2021-Nov-12 17:25:03 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate          - Finished Spring Data repository scanning in 35 ms. Found 1 JPA repository interfaces.
2021-Nov-12 17:25:03 [restartedMain] INFO  o.s.b.w.e.t.TomcatWebServer                        - Tomcat initialized with port(s): 8080 (https)
2021-Nov-12 17:25:03 [restartedMain] INFO  o.a.c.h.Http11NioProtocol                          - Initializing ProtocolHandler ["https-jsse-nio-8080"]
2021-Nov-12 17:25:03 [restartedMain] INFO  o.a.c.c.StandardService                            - Starting service [Tomcat]
2021-Nov-12 17:25:03 [restartedMain] INFO  o.a.c.c.StandardEngine                             - Starting Servlet engine: [Apache Tomcat/9.0.54]
2021-Nov-12 17:25:03 [restartedMain] INFO  o.a.c.c.C.[.[.[/]                                  - Initializing Spring embedded WebApplicationContext
2021-Nov-12 17:25:03 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext     - Root WebApplicationContext: initialization completed in 1369 ms
2021-Nov-12 17:25:03 [restartedMain] INFO  o.h.j.i.u.LogHelper                                - HHH000204: Processing PersistenceUnitInfo [name: default]
2021-Nov-12 17:25:03 [restartedMain] INFO  o.h.Version                                        - HHH000412: Hibernate ORM core version 5.4.32.Final
2021-Nov-12 17:25:04 [restartedMain] INFO  o.h.a.c.Version                                    - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2021-Nov-12 17:25:04 [restartedMain] INFO  c.z.h.HikariDataSource                             - HikariPool-1 - Starting...
2021-Nov-12 17:25:04 [restartedMain] INFO  c.z.h.HikariDataSource                             - HikariPool-1 - Start completed.
2021-Nov-12 17:25:04 [restartedMain] INFO  o.h.d.Dialect                                      - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
2021-Nov-12 17:25:04 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator                 - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2021-Nov-12 17:25:04 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean     - Initialized JPA EntityManagerFactory for persistence unit 'default'
2021-Nov-12 17:25:05 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2021-Nov-12 17:25:05 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer                 - LiveReload server is running on port 35729
2021-Nov-12 17:25:05 [restartedMain] INFO  o.a.c.h.Http11NioProtocol                          - Starting ProtocolHandler ["https-jsse-nio-8080"]
2021-Nov-12 17:25:05 [restartedMain] INFO  o.s.b.w.e.t.TomcatWebServer                        - Tomcat started on port(s): 8080 (https) with context path ''
2021-Nov-12 17:25:06 [restartedMain] INFO  c.r.o.OtpApplication                               - Started OtpApplication in 4.017 seconds (JVM running for 5.022)
2021-Nov-12 17:25:17 [https-jsse-nio-8080-exec-44] INFO  o.a.c.c.C.[.[.[/]                                  - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-Nov-12 17:25:17 [https-jsse-nio-8080-exec-44] INFO  o.s.w.s.DispatcherServlet                          - Initializing Servlet 'dispatcherServlet'
2021-Nov-12 17:25:17 [https-jsse-nio-8080-exec-44] INFO  o.s.w.s.DispatcherServlet                          - Completed initialization in 7 ms
2021-Nov-12 17:25:18 [https-jsse-nio-8080-exec-11] WARN  o.s.w.s.m.s.DefaultHandlerExceptionResolver        - Resolved [org.springframework.http.converter.HttpMessageNotReadableException: JSON parse error: Unexpected character ('*' (code 42)): expected a valid value (JSON String, Number, Array, Object or token 'null', 'true' or 'false'); nested exception is com.fasterxml.jackson.core.JsonParseException: Unexpected character ('*' (code 42)): expected a valid value (JSON String, Number, Array, Object or token 'null', 'true' or 'false')<LF> at [Source: (PushbackInputStream); line: 1, column: 2]]
2021-Nov-12 17:25:18 [https-jsse-nio-8080-exec-35] WARN  o.s.w.s.m.s.DefaultHandlerExceptionResolver        - Resolved [org.springframework.http.converter.HttpMessageNotReadableException: JSON parse error: Unexpected character ('*' (code 42)): expected a valid value (JSON String, Number, Array, Object or token 'null', 'true' or 'false'); nested exception is com.fasterxml.jackson.core.JsonParseException: Unexpected character ('*' (code 42)): expected a valid value (JSON String, Number, Array, Object or token 'null', 'true' or 'false')<LF> at [Source: (PushbackInputStream); line: 1, column: 2]]
2021-Nov-12 17:25:18 [https-jsse-nio-8080-exec-47] WARN  o.s.w.s.m.s.DefaultHandlerExceptionResolver        - Resolved [org.springframework.http.converter.HttpMessageNotReadableException: JSON parse error: Unexpected character ('*' (code 42)): expected a valid value (JSON String, Number, Array, Object or token 'null', 'true' or 'false'); nested exception is com.fasterxml.jackson.core.JsonParseException: Unexpected character ('*' (code 42)): expected a valid value (JSON String, Number, Array, Object or token 'null', 'true' or 'false')<LF> at [Source: (PushbackInputStream); line: 1, column: 2]]
2021-Nov-12 17:25:18 [https-jsse-nio-8080-exec-15] WARN  o.s.w.s.m.s.DefaultHandlerExceptionResolver        - Resolved [org.springframework.http.converter.HttpMessageNotReadableException: JSON parse error: Unexpected character ('*' (code 42)): expected a valid value (JSON String, Number, Array, Object or token 'null', 'true' or 'false'); nested exception is com.fasterxml.jackson.core.JsonParseException: Unexpected character ('*' (code 42)): expected a valid value (JSON String, Number, Array, Object or token 'null', 'true' or 'false')<LF> at [Source: (PushbackInputStream); line: 1, column: 2]]
2021-Nov-12 17:25:18 [https-jsse-nio-8080-exec-36] WARN  o.s.w.s.m.s.DefaultHandlerExceptionResolver        - Resolved [org.springframework.http.converter.HttpMessageNotReadableException: JSON parse error: Unexpected character ('*' (code 42)): expected a valid value (JSON String, Number, Array, Object or token 'null', 'true' or 'false'); nested exception is com.fasterxml.jackson.core.JsonParseException: Unexpected character ('*' (code 42)): expected a valid value (JSON String, Number, Array, Object or token 'null', 'true' or 'false')<LF> at [Source: (PushbackInputStream); line: 1, column: 2]]
